language,language_name,training_status,macro_f1_finetuned,macro_f1_base,macro_f1_delta
eng,English,trained,0.6001087207778854,0.28120883745883746,0.3188998833190479
swa,Swahili,trained,0.2733131633764824,0.17283164075501012,0.10048152262147231
ukr,Ukrainian,trained,0.5005776572232269,0.29587619229696255,0.20470146492626434
deu,German,zero-shot,0.39054686840034325,0.3012405220548051,0.08930634634553813
ptbr,Brazilian Portuguese,zero-shot,0.39557751022648224,0.18637329615238327,0.20920421407409898
yor,Yoruba,zero-shot,0.09695714926293368,0.04341563464717021,0.05354151461576347
